2025-08-07T14:24:41.470+0800	INFO	runtime/asm_amd64.s:1700	同步设备(DeviceConnected)	{"deviceId": "TORCHXX-TFQ3PVU-7TPWPDP-HBGVKUC-CNHI43Z-XTUQCI2-5HC7UIJ-5NDEDAP", "name": "23073RPBFC", "lanIp": "192.168.2.33:22000"}
2025-08-07T14:24:41.471+0800	INFO	runtime/asm_amd64.s:1700	同步设备(DeviceConnected)	{"deviceId": "7FT7LXN-BQVJTDO-XV4YWBH-BDN7VFE-ONUIGYR-4FYAOOT-A3Q5PQN-ELW7OQW", "name": "XT2175-2", "lanIp": "192.168.2.24:22000"}
2025-08-07T14:24:41.473+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderSummary)	{"folderId": "oo4ts-cwwfw"}
2025-08-07T14:24:41.475+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderCompletion)	{"deviceId": "TORCHXX-TFQ3PVU-7TPWPDP-HBGVKUC-CNHI43Z-XTUQCI2-5HC7UIJ-5NDEDAP", "folderId": "oo4ts-cwwfw"}
2025-08-07T14:24:41.477+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderCompletion)	{"deviceId": "7FT7LXN-BQVJTDO-XV4YWBH-BDN7VFE-ONUIGYR-4FYAOOT-A3Q5PQN-ELW7OQW", "folderId": "oo4ts-cwwfw"}
2025-08-07T14:24:41.479+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderSummary)	{"folderId": "xt2175-2_nbrn-照片"}
2025-08-07T14:24:41.481+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderCompletion)	{"deviceId": "7FT7LXN-BQVJTDO-XV4YWBH-BDN7VFE-ONUIGYR-4FYAOOT-A3Q5PQN-ELW7OQW", "folderId": "xt2175-2_nbrn-照片"}
2025-08-07T14:24:41.483+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderSummary)	{"folderId": "ciayr-ji5ho"}
2025-08-07T14:24:41.485+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderCompletion)	{"deviceId": "7FT7LXN-BQVJTDO-XV4YWBH-BDN7VFE-ONUIGYR-4FYAOOT-A3Q5PQN-ELW7OQW", "folderId": "ciayr-ji5ho"}
2025-08-07T14:24:41.486+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderSummary)	{"folderId": "xt2175-2_nbrn-照片"}
2025-08-07T14:24:41.486+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderCompletion)	{"deviceId": "7FT7LXN-BQVJTDO-XV4YWBH-BDN7VFE-ONUIGYR-4FYAOOT-A3Q5PQN-ELW7OQW", "folderId": "xt2175-2_nbrn-照片"}
